7.519,-0.646,-1.130,7.178,0
7.932,-0.134,-2.255,7.106,0
8.29,0.000,-3.041,6.761,0
8.643,0.498,-3.701,6.546,0
9.003,0.443,-3.852,6.440,0
9.362,0.345,-3.505,6.371,0
9.721,2.447,-10.865,-1.413,1
10.081,1.982,-9.811,-2.145,1
10.437,-0.139,-9.330,2.442,0
10.792,0.783,-0.654,7.518,0
11.153,-0.733,0.247,7.695,0
11.51,-2.823,-2.672,9.143,0
11.869,-1.470,-1.963,5.006,0
12.226,-0.141,1.748,7.374,0
12.585,-0.340,-3.716,7.429,0
12.944,-2.538,0.330,9.050,0
13.3,0.781,-0.421,5.021,0
13.657,-2.160,-0.577,7.882,0
14.014,-0.850,-3.139,9.146,0
14.478,0.328,-0.302,2.698,0
14.84,-3.845,0.455,7.784,0
15.202,-0.290,2.729,7.784,0
15.563,-2.897,-6.273,7.994,0
15.928,1.094,2.492,3.409,0
16.291,0.639,-3.139,8.803,0
16.649,0.790,-5.200,4.053,0
17.012,1.039,-9.586,-0.151,1
17.375,1.822,-10.099,-1.168,1
17.736,2.064,-6.503,5.236,0
18.101,1.628,-0.769,7.010,0
18.462,8.270,0.812,3.883,0
18.826,10.353,0.527,-0.120,1
19.19,7.877,-0.323,3.752,0
19.557,1.633,1.858,7.429,0
19.916,1.324,-4.096,5.930,0
20.276,2.157,-6.481,5.107,0
20.637,1.671,-9.170,1.657,0
21.094,0.381,-8.689,0.785,0
21.457,0.946,-10.520,-1.841,1
21.819,0.915,-10.551,-1.817,1
22.18,0.919,-3.840,6.541,0
22.543,0.170,0.503,6.536,0
22.906,5.660,0.204,5.284,0
23.266,8.650,0.081,3.187,0
23.633,9.974,0.189,-0.536,1
23.997,11.090,0.845,-1.935,1
24.361,8.487,1.377,4.568,0
24.723,0.340,-1.109,9.876,0
25.088,1.238,-1.472,5.370,0
25.454,-1.077,1.530,7.049,0
25.817,-2.605,-1.398,9.069,0
26.181,-1.075,1.877,5.586,0
26.542,-0.330,8.538,2.121,0
26.904,-0.304,9.586,0.098,1
27.265,0.994,10.025,-1.559,1
27.733,0.215,1.961,6.536,0
28.098,0.814,-1.393,8.444,0
28.461,-1.302,-1.025,6.656,0
28.827,1.018,2.346,5.758,0
29.19,0.177,-3.177,6.371,0
29.553,-1.118,-0.378,7.915,0
29.914,4.185,1.894,6.637,0
30.281,1.674,-0.493,7.537,0
30.644,-0.074,0.984,3.498,0
31.007,-1.848,-1.168,9.103,0
31.373,1.942,1.312,8.248,0
31.74,2.966,0.924,7.537,0
32.107,0.608,1.046,4.032,0
32.471,1.516,2.945,8.562,0
32.836,1.872,-1.432,8.234,0
33.202,0.405,0.871,8.444,0
33.564,-2.229,-3.979,6.685,0
33.925,2.820,3.062,10.266,0
34.291,-0.256,0.417,9.064,0
34.76,1.053,-2.933,6.438,0
35.123,2.794,-9.488,1.178,0
35.487,2.243,-10.123,-2.440,1
35.85,1.705,-10.089,-2.212,1
36.214,1.226,-5.691,6.065,0
36.578,-0.242,0.239,8.464,0
36.942,-0.326,-0.206,5.030,0
37.307,-0.266,-0.512,8.497,0
37.67,0.730,-0.539,7.221,0
38.034,1.695,-2.272,7.329,0
38.399,3.701,-2.978,4.822,0
38.764,0.551,0.091,7.365,0
39.125,0.644,0.089,7.360,0
39.49,0.680,-0.074,7.312,0
39.85,0.582,0.129,7.175,0
40.215,0.670,0.134,7.384,0
